Stock,MQ,BQ,MBQ,Reasoning
REPCOHOME,3,3,3,Regional housing finance company with limited scale and rising competition.
ROSSARI,4,4,4,Specialty chemicals player with innovative products but faces scalability challenges.
ROUTE,4,4,4,Cloud communication provider with strong growth prospects but intense competition.
SAIL,3,3,3,PSU steel producer with cyclical earnings and governance challenges.
SAMMAANCAP,3,3,3,Small NBFC with limited scale and high concentration risks.
SANOFI,5,5,5,Global pharma major with strong brand portfolio and ethical management.
SATIN,3,3,3,Microfinance player with execution and asset quality concerns.
SBICARD,5,4,4.5,Leading credit card issuer with strong parent backing and consistent growth.
SBIETFPB,4,4,4,ETF backed by PSU banking sector; reflects the mixed performance of its constituents.
SBILIFE,5,4,4.5,Leading life insurer with strong growth and efficient operations.
SBIN,4,4,4,Largest PSU bank with improving metrics but faces PSU inefficiencies.
SCHAEFFLER,5,5,5,Leading auto component player with strong product portfolio and technological expertise.
SFL,4,4,4,Well-managed NBFC with a strong focus on niche lending but scalability constraints.
SHALBY,3,3,3,Hospital chain with regional focus and limited differentiation in a competitive market.
SHARDACROP,4,4,4,Agrochemical player with a strong product portfolio but intense competition.
SHREECEM,5,5,5,Premium cement player with excellent cost efficiency and strong brand.
SIEMENS,5,5,5,Leader in industrial automation and infrastructure with consistent growth and innovation.
SIS,4,4,4,Leading security services company with strong growth but low margins.
SONACOMS,4,4,4,Auto component leader with innovative products but cyclical industry exposure.
SONATSOFTW,5,5,5,IT services player with strong focus on niche verticals and excellent financial performance.
SPORTKING,3,3,3,Niche textile player; but operates in a commoditized and cyclical industry.
SRF,5,5,5,Diversified chemicals leader with strong innovation; export focus; and consistent growth.
STARHEALTH,4,4,4,Leading health insurer with growing market share but faces intense competition.
SUNPHARMA,5,5,5,Largest Indian pharma company with robust portfolio and global presence.
SUNTV,4,3,3.5,Regional media leader; but faces challenges from digital streaming platforms.
SURYODAY,3,3,3,Small finance bank with limited scale and rising competition in financial inclusion.
SUZLON,3,3,3,Pioneer in wind energy but historically burdened by high debt and execution challenges.
SYMPHONY,4,4,4,Market leader in air coolers; but growth is seasonal and dependent on weather patterns.
TANLA,4,4,4,Strong position in cloud communication but operates in a competitive tech space.
TASTYBITE,4,4,4,Niche packaged foods player with export focus but limited domestic penetration.
TATACOMM,4,4,4,Global telecom player with improving margins but capital-intensive business.
TATACONSUM,5,5,5,Diversified FMCG giant with strong brands and consistent premiumization strategy.
TATAELXSI,5,5,5,Niche IT services player in design and automotive tech with excellent growth prospects.
TATAMOTORS,4,4,4,Improving fundamentals driven by EV focus but cyclical nature of auto industry remains.
TATAPOWER,4,4,4,Strong push in renewable energy but faces regulatory and operational challenges.
TATASTEEL,4,4,4,Global steel leader with improving cost efficiencies but cyclical exposure.
TCS,5,5,5,IT services giant with unparalleled scale; execution capabilities; and consistent growth.
TEAMLEASE,4,4,4,Market leader in staffing solutions but operates on thin margins.
TECHM,4,4,4,Diversified IT services player but lags peers in high-margin digital transformation.
VEEDOL,3,3,3,Mid-tier lubricant player with limited pricing power in a competitive market.
TIPSINDLTD,4,4,4,Niche player in music content with rising digital monetization opportunities.
TITAGARH,4,4,4,Rail and infrastructure player benefiting from government capex but cyclical demand.
TITAN,5,5,5,Market leader in jewelry and watches with consistent growth and strong brand equity.
TORNTPHARM,5,5,5,Pharma leader with focus on branded generics and strong financials.
TRIDENT,4,4,4,Integrated textile player with improving fundamentals but cyclical industry exposure.
TTKPRESTIG,5,5,5,Kitchen appliance leader with strong brand presence and consistent growth.
TV18BRDCST,3,3,3,Media player with fluctuating revenues and limited pricing power.
UJJIVAN,3,3,3,Small finance bank with improving performance but high competition in its niche.
UJJIVANSFB,3,3,3,Similar to UJJIVAN; with challenges in scaling up and sustaining profitability.
ULTRACEMCO,5,5,5,Leading cement player with excellent cost efficiencies and market dominance.
UNIONBANK,3,3,3,PSU bank with weak asset quality but improving metrics.
UNITDSPR,5,4,4.5,Market leader in premium alcoholic beverages with strong brand portfolio.
UPL,5,4,4.5,Global agrochemical player with robust portfolio but faces debt-related concerns.
UTIAMC,4,4,4,Established mutual fund player but lags private peers in growth.
VAIBHAVGBL,4,4,4,Niche jewelry and lifestyle retailer with strong export focus.
VALIANTORG,4,4,4,Specialty chemical player with strong margins but smaller scale.
VEDL,3,3,3,Commodity business with cyclical earnings and corporate governance concerns.
VGUARD,4,4,4,Consumer appliances player with consistent growth but rising input costs.
VINATIORGA,5,5,5,Specialty chemical leader with high margins and export focus.
VIPIND,5,5,5,Market leader in luggage with consistent growth and brand equity.
VOLTAS,5,5,5,Market leader in air conditioning and cooling products with robust brand equity.
WESTLIFE,4,4,4,McDonald's franchisee in India with strong growth but operates on thin margins.
WHIRLPOOL,4,4,4,Consumer appliances leader with premium positioning but rising competition.
WIPRO,4,4,4,IT services major but lags peers in growth and margins.
WSTCSTPAPR,3,3,3,Regional paper manufacturer with cyclical business and limited differentiation.
YESBANK,3,3,3,Private bank with improving metrics but a history of governance and asset quality issues.
ZEEL,4,3,3.5,Leading media player with challenges from streaming platforms and governance concerns.
